All Dates and Details Purchases by Product/Service,,,,,,,,,,,,
"Norris Utilities, LLC",,,,,,,,,,,,
All Dates,,,,,,,,,,,,

,Transaction date,Transaction type,Num,Vendor,Memo/Description,Quantity,Rate,Amount,Balance,SKU,Full name,Product/Service full name
,11/18/2021,Credit Card Expense,,,CHEVRON 0374185,,,59.35,"6,803.46",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/18/2021,Credit Card Expense,,,DAVE'S JUBILEE,,,14.38,"6,817.84",,Meals,
,11/18/2021,Credit Card Expense,,,QUALITY INN,,,10.95,"6,828.79",,Travel,
,11/18/2021,Credit Card Expense,,,QUALITY INN,,,102.93,"6,931.72",,Travel,
,11/18/2021,Expense,,Wade Hogg,IXTAPA MEXICAN RESTAURAN,,,91.95,"7,023.67",,Meals,
,11/18/2021,Expense,,,WAL-MART #2782,,,24.94,"7,048.61",,Office expenses,
,11/19/2021,Credit Card Expense,,,LOAF N JUG # 0824,,,50.53,"7,099.14",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/19/2021,Credit Card Expense,,,MASA HIBACHI,,,27.05,"7,126.19",,Meals,
,11/19/2021,Credit Card Expense,,,BAKER TRUCK STOP,,,14.49,"7,140.68",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/19/2021,Credit Card Expense,,,WILD WEST PIZZERIA  S,,,25.56,"7,166.24",,Meals,
,11/19/2021,Expense,,,Oklahoma Turnpike Authority,,,2.00,"7,168.24",,Vehicle expenses:Parking & tolls,
,11/19/2021,Expense,,,muskogee turnpike,,,11.50,"7,179.74",,Vehicle expenses:Parking & tolls,
,11/21/2021,Credit Card Expense,,,BP#3743598W MEMPHIS TRAV,,,70.58,"7,250.32",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/21/2021,Credit Card Expense,,,CENEX RUSSELL 09882614,,,50.75,"7,301.07",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/21/2021,Credit Card Expense,,,TEXACO 0303021,,,50.00,"7,351.07",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/21/2021,Credit Card Expense,,,EXXONMOBIL    45947843,,,36.95,"7,388.02",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/21/2021,Credit Card Expense,,,LOVE S TRAVEL 00001206,,,49.75,"7,437.77",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/21/2021,Expense,,,EXXONMOBIL    99761504,,,4.47,"7,442.24",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/21/2021,Credit Card Expense,,,CRACKER BARREL #332 ALMA,,,15.62,"7,457.86",,Meals,
,11/21/2021,Credit Card Expense,,,FAST STOP 1131,,,2.48,"7,460.34",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/21/2021,Credit Card Expense,,,MCDONALD'S F6877,,,4.75,"7,465.09",,Meals,
,11/21/2021,Credit Card Expense,,,HAMPTON INNS,,,106.28,"7,571.37",,Travel,
,11/21/2021,Credit Card Expense,,,WEST YELLOWSTONE-HOLIDAY,,,-143.57,"7,427.80",,Owner draws,
,11/22/2021,Expense,,,CENEX STRATTON07075872,,,47.56,"7,475.36",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/22/2021,Expense,,,EXXONMOBIL    48287031,,,7.28,"7,482.64",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/22/2021,Expense,,,FAIRFIELD INN & SUITES,,,106.34,"7,588.98",,Travel,
,11/23/2021,Expense,,,CIRCLE K # 23817,,,74.69,"7,663.67",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/25/2021,Expense,,,SHELL OIL 12709597004,,,72.14,"7,735.81",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/25/2021,Expense,,,THE UPS STORE 0255,,,231.00,"7,966.81",,Office expenses:Shipping & postage,
,11/26/2021,Expense,,,MAPCO EXPRESS #7549,,,6.49,"7,973.30",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/26/2021,Journal Entry,2,,,,,606.10,"8,579.40",,Sapphire Reserve (9243) - 2,
,11/28/2021,Expense,,,Microsoft,,,19.07,"8,598.47",,Office expenses:Software & apps,
,11/28/2021,Expense,,,Microsoft,,,52.99,"8,651.46",,Office expenses:Software & apps,
,11/28/2021,Expense,,"Pearce, Bevill, Leesburg, & Moore, P.C. - CPA","Pearce, Bevill, Leesburg, & Moore, P.C.",,,305.00,"8,956.46",,Legal & accounting services:Accounting fees,
,11/29/2021,Expense,,,SHELL OIL 10010307006,,,50.20,"9,006.66",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/30/2021,Expense,,Chuck Jett,SQ *O.HENRY'S COFFEE- HOM,,,4.30,"9,010.96",,Meals,
,12/02/2021,Expense,,,VISTAPR*VistaPrint.com,,,97.20,"9,108.16",,Advertising & marketing,
,12/02/2021,Expense,,,ADOBE,,,179.88,"9,288.04",,Office expenses:Software & apps,
,12/02/2021,Expense,,,CREATIVE CLOUD INDIV,,,359.88,"9,647.92",,Office expenses:Software & apps,
,12/03/2021,Credit Card Credit,,,ADOBE ACROPRO SUBS,,,-194.27,"9,453.65",,Office expenses:Software & apps,
,12/03/2021,Credit Card Credit,,,ADOBE ACROBAT STD,,,-35.28,"9,418.37",,Office expenses:Software & apps,
,12/03/2021,Expense,,Jason Smith,RAGTIME CAFE,,,49.77,"9,468.14",,Meals,
,12/05/2021,Expense,,,RACEWAY6824   51968246,,,59.13,"9,527.27",,Vehicle expenses:Vehicle gas & fuel (deleted),
,12/05/2021,Expense,,,RACEWAY6824   51968246,,,12.77,"9,540.04",,Vehicle expenses:Vehicle gas & fuel (deleted),
,12/05/2021,Expense,,,VILLAGE TAVERN #9,,,48.32,"9,588.36",,Meals,
,12/05/2021,Expense,,,HOMEDEPOT.COM,,,406.86,"9,995.22",,Supplies:Supplies & materials,
,12/07/2021,Expense,,,CHEVRON 0040838,,,53.98,"10,049.20",,Vehicle expenses:Vehicle gas & fuel (deleted),
,12/09/2021,Expense,,,STAPLES DIRECT,,,21.79,"10,070.99",,Office expenses:Office supplies,
,12/10/2021,Expense,,,CIRCLE K # 23388,,,43.44,"10,114.43",,Vehicle expenses:Vehicle gas & fuel (deleted),
,12/12/2021,Expense,,,TACO CASA #6,,,24.42,"10,138.85",,Meals,
,12/12/2021,Expense,,,CHEVRON 0210809,,,12.06,"10,150.91",,Vehicle expenses:Vehicle gas & fuel (deleted),
,12/13/2021,Expense,,,RACETRAC436   00004366,,,50.48,"10,201.39",,Vehicle expenses:Vehicle gas & fuel (deleted),
,12/13/2021,Expense,,,HAMPTON INNS,,,159.14,"10,360.53",,Travel,
,12/13/2021,Expense,,,TST* PURPLE PARROT,,,23.23,"10,383.76",,Meals,
,12/14/2021,Expense,,,staples,,,27.24,"10,411.00",,Office expenses:Office supplies,
,12/14/2021,Expense,,,EXXONMOBIL    47934690,,,2.99,"10,413.99",,Vehicle expenses:Vehicle gas & fuel (deleted),
,12/15/2021,Credit Card Payment,,,KNOWN TRAVELER CREDIT,,,-85.00,"10,328.99",,Sapphire Reserve (9243) - 2,
,12/15/2021,Expense,,,IDEMIA TSA PRECHECK,,,85.00,"10,413.99",,Travel,
,12/16/2021,Expense,,,STAPLES       00111880,,,29.41,"10,443.40",,Office expenses:Office supplies,
,12/19/2021,Expense,,,THE UPS STORE 2432,,,12.77,"10,456.17",,Office expenses:Shipping & postage,
,12/19/2021,Expense,,Aaron Norris - Personal,office depot office max,,,22.88,"10,479.05",,Office expenses:Office supplies,
,12/20/2021,Expense,,,FDCSUBSCRIPTION,,,12.00,"10,491.05",,Dues & Subscriptions,
,12/21/2021,Expense,,Freight Tec - Logistics / Equipment Transportation,FREIGHT TEC MANAGEMENT GR,,,"10,000.00","20,491.05",,Norris Utilities Fleet Assets,
,12/21/2021,Expense,,,STAPLES       00111880,,,163.49,"20,654.54",,Office expenses:Office supplies,
,12/21/2021,Expense,,,THE HOME DEPOT 875,,,28.84,"20,683.38",,Supplies:Supplies & materials,
,12/21/2021,Expense,,,OFFICEMAX/DEPOT 6371,,,7.88,"20,691.26",,Office expenses,
,12/22/2021,Expense,,,SQ *O'HENRY'S COFFEE - BR,,,7.45,"20,698.71",,Meals,
,12/26/2021,Expense,,,RACEWAY6824   51968246,,,52.10,"20,750.81",,Vehicle expenses:Vehicle gas & fuel (deleted),
,12/26/2021,Journal Entry,3,,,,,"1,633.33","22,384.14",,Owner draws,
,12/26/2021,Journal Entry,3,,,,,"-1,493.78","20,890.36",,Sapphire Reserve (9243) - 2,
,12/30/2021,Expense,,,SHELL OIL 57544119001,,,11.42,"20,901.78",,Vehicle expenses:Vehicle gas & fuel (deleted),
,12/31/2021,Expense,,,BEST BUY      00003830,,,23.96,"20,925.74",,Office expenses,
,12/31/2021,Journal Entry,5,,,,,"1,549.71","22,475.45",,Owner draws,
,12/31/2021,Journal Entry,6,,,,,"319,200.00","341,675.45",,Norris Utilities Fleet Assets,
,12/31/2021,Journal Entry,16,,,,,"-319,200.00","22,475.45",,Owner draws,
,01/01/2022,Journal Entry,14,,,,,"-1,805.89","20,669.56",,Retained Earnings,
,01/03/2022,Expense,,,INTUIT *QuickBooks Online,,,42.40,"20,711.96",,Office expenses:Software & apps,
,01/03/2022,Expense,,,CIRCLE K 06736,,,75.07,"20,787.03",,Vehicle expenses:Vehicle gas & fuel (deleted),
,01/04/2022,Deposit,,,,,,"42,000.00","62,787.03",,N/P Merrill Lynch,
,01/04/2022,Expense,,,CHEVRON 0040838,,,49.05,"62,836.08",,Vehicle expenses:Vehicle gas & fuel (deleted),
,01/04/2022,Journal Entry,13,,,,,"38,000.00","100,836.08",,Owner draws,
,01/04/2022,Journal Entry,20,,,,,"-42,000.00","58,836.08",,Owner draws,
,01/04/2022,Journal Entry,20,,,,,"-1,599.91","57,236.17",,N/P Merrill Lynch,
,01/04/2022,Journal Entry,20,,,,,"1,599.91","58,836.08",,Owner draws,
,01/06/2022,Expense,,,CHASE CREDIT CRD  EP ACH DEBIT CHASE CREDIT CRD  EPAY              220106,,,"-10,213.34","48,622.74",,Norris Utilities Chase Ink Credit Card,
,01/09/2022,Expense,,,D&B BIRMINGHAM 128 PWCR,,,25.00,"48,647.74",,Office expenses,
,01/09/2022,Expense,,,D&B #128 ECOMMERCE,,,78.37,"48,726.11",,Office expenses,
,01/09/2022,Expense,,,D&B #128 ECOMMERCE,,,4.21,"48,730.32",,Meals,
,01/10/2022,Expense,1001,Hylant,Commercial Liability Insurance,,,"29,425.60","78,155.92",,Insurance:Liability insurance,
,01/11/2022,Bill,,Condux Tesmec,Opening Balance,,,"745,808.04","823,963.96",,Norris Utilities Fleet Assets,
,01/12/2022,Expense,,,CIRCLE K # 23817,,,47.55,"824,011.51",,Vehicle expenses:Vehicle gas & fuel (deleted),
,01/12/2022,Expense,,,ADOBE STOCK TRIAL,,,32.39,"824,043.90",,Office expenses:Software & apps,
,01/19/2022,Expense,,,circle k,,,72.47,"824,116.37",,Vehicle Expense - Fuel,
,01/21/2022,Expense,,,CIRCLE K 06736,,,72.41,"824,188.78",,Vehicle expenses:Vehicle gas & fuel (deleted),
,01/21/2022,Expense,,,TEXACO 0357753,,,53.15,"824,241.93",,Vehicle expenses:Vehicle gas & fuel (deleted),
,01/25/2022,Credit Card Expense,,,AT&T   *PAYMENT,,,55.40,"824,297.33",,Utilities:Internet & TV services,
,01/26/2022,Journal Entry,4,,,,,"-1,611.05","822,686.28",,Owner draws,
,01/26/2022,Journal Entry,4,,,,,"1,641.04","824,327.32",,Sapphire Reserve (9243) - 2,
,01/28/2022,Expense,,,TEXACO 0357753,,,51.55,"824,378.87",,Vehicle expenses,
,01/31/2022,Expense,,,RACEWAY6824   51968246,,,59.18,"824,438.05",,Vehicle expenses:Vehicle gas & fuel (deleted),
,01/31/2022,Journal Entry,21,,,,,"-12,583.33","811,854.72",,Accumulated Depreciation,
,02/01/2022,Expense,,,SHELL OIL 57544119001,,,17.70,"811,872.42",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/01/2022,Deposit,,,REGIONS BANK      TR DIRECT DEPOSIT REGIONS BANK      TRIALCREDT        220201            4464845759,,,-0.19,"811,872.23",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/01/2022,Deposit,,,REGIONS BANK      TR DIRECT DEPOSIT REGIONS BANK      TRIALCREDT        220201            4464845763,,,-0.30,"811,871.93",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/01/2022,Expense,,,REGIONS BANK      TR ACH DEBIT REGIONS BANK      TRIALDEBIT        220201            4464845769,,,0.49,"811,872.42",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/03/2022,Expense,,,INTUIT *QuickBooks Online,,,43.40,"811,915.82",,Office expenses:Software & apps,
,02/04/2022,Expense,,,CIRCLE K # 23817,,,51.95,"811,967.77",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/07/2022,Expense,,,BEST BUY      00003830,,,152.59,"812,120.36",,Office expenses,
,02/09/2022,Expense,,,CHASE CREDIT CRD  EP ACH DEBIT CHASE CREDIT CRD  EPAY              220209,,,-177.65,"811,942.71",,Norris Utilities Chase Ink Credit Card,
,02/10/2022,Expense,,,GOOGLE *Google Storage,,,2.99,"811,945.70",,Office expenses:Software & apps,
,02/10/2022,Expense,,,Microsoft*Xbox Live Gold,,,-59.00,"811,886.70",,Owner draws,
,02/10/2022,Deposit,,Aaron Norris / Norris Utilities,020220410150200 INCOMING WIRE INCOMING WIRE     GFX 20220410150200 ORG WAYNE K NORRIS PLEDGED TO ML LENDEROBI,,,"400,000.00","1,211,886.70",,Long-term business loans,
,02/10/2022,Deposit,,Aaron Norris / Norris Utilities,020220410144100 INCOMING WIRE INCOMING WIRE     GFX 20220410144100 ORG WAYNE K NORRIS AND LISA S NORRIS 43OBI,,,"405,000.00","1,616,886.70",,Long-term business loans,
,02/10/2022,Expense,,,INCOMING WIRE FEE MISC DEBIT INCOMING WIRE FEE,,,18.00,"1,616,904.70",,General business expenses:Bank fees & service charges,
,02/10/2022,Expense,,,INCOMING WIRE FEE MISC DEBIT INCOMING WIRE FEE,,,18.00,"1,616,922.70",,General business expenses:Bank fees & service charges,
,02/11/2022,Expense,,,raceway,,,69.51,"1,616,992.21",,Vehicle expenses,
,02/11/2022,Expense,,Condux Tesmec,020220420102800 OUTGOING WIRE FEE OUTGOING WIRE     GFX 20220420102800 BNF CONDUX TESMEC INC. OBI REF> INVOICE#307730 AND 3,,,"-805,719.52","811,272.69",,Long-term business loans,
,02/11/2022,Expense,,,OUTGOING WIRE FEE MISC DEBIT OUTGOING WIRE FEE,,,30.00,"811,302.69",,General business expenses:Bank fees & service charges,
,02/11/2022,Journal Entry,15,,,,,"1,414.92","812,717.61",,Rental Revenue,
,02/13/2022,Expense,,,ADOBE STOCK,,,32.39,"812,750.00",,Office expenses:Software & apps,
,02/14/2022,Expense,,,CIRCLE K # 23802,,,40.31,"812,790.31",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/14/2022,Expense,,,SHELL OIL 10010307006,,,3.82,"812,794.13",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/14/2022,Expense,,,RACEWAY 6824  55668248,,,58.26,"812,852.39",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/14/2022,Expense,,,BWW MANSFIELD 161,,,33.41,"812,885.80",,Meals,
,02/14/2022,Expense,,,QT 951,,,23.33,"812,909.13",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/14/2022,Expense,,,THE SPICE RACK BAR AND GR,,,23.35,"812,932.48",,Meals,
,02/14/2022,Expense,,,Buffalo Wild Wings,,,33.41,"812,965.89",,Meals,
,02/15/2022,Expense,,,BWW MANSFIELD 161,,,8.77,"812,974.66",,Meals,
,02/15/2022,Expense,,,Brilla181,,,8.12,"812,982.78",,Meals,
