Detailed Sales Report - Product and Services ALL,,,,,,,,,,,,,,,,,
"Norris Utilities, LLC",,,,,,,,,,,,,,,,,
All Dates,,,,,,,,,,,,,,,,,

,Transaction date,Transaction type,Num,SKU,Customer,Customer full name,Memo/Description,Quantity,Sales price,Amount,Balance,Full name,Product/Service full name,Payment method,Tracking #,Service date,Ship date
Credit Card Processing,,,,,,,,,,,,,,,,,
Credit Card Processing Fee,,,,,,,,,,,,,,,,,
,03/04/2024,Invoice,1100,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,8.90,8.90,"1,300.97",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000320096953,03/05/2024,03/04/2024
,03/04/2024,Invoice,1101,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,8.90,8.90,"1,309.87",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000320096953,03/05/2024,03/04/2024
,03/05/2024,Invoice,1105,4%,AEP / SWEPCO Fayettville - Brandon,AEP/SWEPCO - Shreveport:AEP / SWEPCO Fayettville - Brandon,4% Credit Card Processing Fee,1.00,8.45,8.45,"1,318.32",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000315445353,,03/06/2024
,03/05/2024,Invoice,1106,4%,AEP / SWEPCO Fayettville - Brandon,AEP/SWEPCO - Shreveport:AEP / SWEPCO Fayettville - Brandon,4% Credit Card Processing Fee,1.00,8.50,8.50,"1,326.82",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000315445353,,03/06/2024
,03/05/2024,Invoice,1107,4%,AEP / SWEPCO Fayettville - Brandon,AEP/SWEPCO - Shreveport:AEP / SWEPCO Fayettville - Brandon,4% Credit Card Processing Fee,1.00,9.70,9.70,"1,336.52",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000315445353,,03/06/2024
,03/18/2024,Invoice,1113,4%,AEP / SWEPCO Fayettville - Brandon,AEP/SWEPCO - Shreveport:AEP / SWEPCO Fayettville - Brandon,4% Credit Card Processing Fee,1.00,9.27,9.27,"1,345.79",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000315860056,,03/18/2024
,03/18/2024,Invoice,1114,4%,AEP / SWEPCO Fayettville - Brandon,AEP/SWEPCO - Shreveport:AEP / SWEPCO Fayettville - Brandon,4% Credit Card Processing Fee,1.00,9.22,9.22,"1,355.01",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000315860056,03/18/2024,03/18/2024
,03/18/2024,Invoice,1134,4%,Alabama Power - Rusty Thomas,Alabama Power:Alabama Power - Rusty Thomas,4% Credit Card Processing Fee,1.00,26.00,26.00,"1,381.01",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,,04/30/2024,04/19/2024
,04/01/2024,Invoice,1115,4%,AEP / SWEPCO Fayettville - Brandon,AEP/SWEPCO - Shreveport:AEP / SWEPCO Fayettville - Brandon,4% Credit Card Processing Fee,1.00,7.75,7.75,"1,388.76",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,,03/28/2024,03/28/2024
,04/01/2024,Invoice,1116,4%,AEP / SWEPCO Fayettville - Brandon,AEP/SWEPCO - Shreveport:AEP / SWEPCO Fayettville - Brandon,4% Credit Card Processing Fee,1.00,7.75,7.75,"1,396.51",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,,03/28/2024,03/28/2024
,04/01/2024,Invoice,1117,4%,AEP / SWEPCO Fayettville - Brandon,AEP/SWEPCO - Shreveport:AEP / SWEPCO Fayettville - Brandon,4% Credit Card Processing Fee,1.00,8.90,8.90,"1,405.41",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,,03/28/2024,03/28/2024
,04/05/2024,Invoice,1120,4%,"Aerial Hydraulics, Inc.","Aerial Hydraulics, Inc.",4% Credit Card Processing Fee,1.00,0.00,0.00,"1,405.41",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Check,1Z2W49000321535351,04/11/2024,04/06/2024
,04/18/2024,Invoice,1129,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,28.00,28.00,"1,433.41",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000323855350,,04/18/2024
,04/26/2024,Invoice,1132,4%,NAPA - Mississippi Power Parts,Mississippi Power:Mississippi Power - Fleet:NAPA - Mississippi Power Parts,4% Credit Card Processing Fee,1.00,459.00,459.00,"1,892.41",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,,,04/16/2024
,04/30/2024,Invoice,1135,4%,Alabama Power - Rusty Thomas,Alabama Power:Alabama Power - Rusty Thomas,4% Credit Card Processing Fee,1.00,15.00,15.00,"1,907.41",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,,,04/19/2024
,05/03/2024,Invoice,1137,4%,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,4% Credit Card Processing Fee,1.00,10.20,10.20,"1,917.61",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000324406351,,05/03/2024
,05/03/2024,Invoice,1138,4%,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,4% Credit Card Processing Fee,1.00,9.15,9.15,"1,926.76",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000324406351,,05/03/2024
,05/06/2024,Invoice,1140,4%,Chain Electric,Chain Electric,4% Credit Card Processing Fee,1.00,89.00,89.00,"2,015.76",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,QuickBooks Payments-Credit Card,1Z2W49000357986182,,05/07/2024
,05/07/2024,Invoice,1141,4%,ULCS - Birmingham,ULCS - Birmingham,4% Credit Card Processing Fee,1.00,25.00,25.00,"2,040.76",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,,,05/10/2024
