Detailed Sales Report - Product and Services ALL,,,,,,,,,,,,,,,,,
"Norris Utilities, LLC",,,,,,,,,,,,,,,,,
All Dates,,,,,,,,,,,,,,,,,

,Transaction date,Transaction type,Num,SKU,Customer,Customer full name,Memo/Description,Quantity,Sales price,Amount,Balance,Full name,Product/Service full name,Payment method,Tracking #,Service date,Ship date
Credit Card Processing,,,,,,,,,,,,,,,,,
Credit Card Processing Fee,,,,,,,,,,,,,,,,,
,06/30/2023,Invoice,1036,NU-BC-2834,"MMR Constructors, Inc.","MMR Constructors, Inc.","Boss Products 1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",2.00,165.00,330.00,"5,230.40",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z43098703997969,06/28/2023,06/30/2023
,07/27/2023,Invoice,1037,NU-BC-2834,"LineTec Services, LLC","LineTec Services, LLC","Boss Products 1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,132.50,132.50,"5,362.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000388388341,07/20/2023,07/21/2023
,08/23/2023,Invoice,1044,NU-BC-2834,PowerGrid Services - AP,PowerGrid Services - AP,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",6.00,145.00,870.00,"6,232.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,08/08/2023,08/08/2023
,09/05/2023,Invoice,1048,NU-BC-2834,AEP/SWEPCO - Shreveport,AEP/SWEPCO - Shreveport,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",6.00,150.00,900.00,"7,132.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000392346842,09/05/2023,09/05/2023
,10/09/2023,Invoice,1055,NU-BC-2834,PowerGrid Services - AP,PowerGrid Services - AP,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",12.00,145.00,"1,740.00","8,872.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,10/09/2023,10/11/2023
,10/13/2023,Invoice,1058,NU-BC-2834,Arkansas Valley Electric Coop.,Arkansas Valley Electric Coop.,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,145.00,145.00,"9,017.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,09/27/2023,09/27/2023
,11/13/2023,Invoice,1067,NU-BC-2834,Troy Utilities,Troy Utilities,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,160.00,160.00,"9,177.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,11/08/2023,11/08/2023
,12/01/2023,Invoice,1070,NU-BC-2834,Chain Electric,Chain Electric,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",6.00,150.00,900.00,"10,077.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,11/30/2023,12/01/2023
,12/01/2023,Invoice,1071,NU-BC-2834,Mississippi Power - Fleet,Mississippi Power:Mississippi Power - Fleet,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,150.00,150.00,"10,227.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,11/30/2023,11/29/2023
,12/13/2023,Invoice,1078,NU-BC-2834,ULCS - Birmingham,ULCS - Birmingham,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",3.00,155.00,465.00,"10,692.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,12/14/2023,12/14/2023
,01/19/2024,Invoice,1085,NU-BC-2834,ULCS - Birmingham,ULCS - Birmingham,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",4.00,155.00,620.00,"11,312.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,01/22/2024,01/22/2024
,02/07/2024,Invoice,1089,NU-BC-2834,"LineTec Services, LLC","LineTec Services, LLC","1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,155.00,155.00,"11,467.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000347476582,02/07/2024,02/08/2024
,02/26/2024,Invoice,1099,NU-BC-2834,AEP/SWEPCO - Shreveport,AEP/SWEPCO - Shreveport,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",5.00,160.00,800.00,"12,267.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,02/26/2024,02/26/2024
,03/05/2024,Invoice,1105,NU-BC-2834,AEP / SWEPCO Fayettville - Brandon,AEP/SWEPCO - Shreveport:AEP / SWEPCO Fayettville - Brandon,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,160.00,160.00,"12,427.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,1Z2W49000315445353,03/06/2024,03/06/2024
,03/05/2024,Invoice,1106,NU-BC-2834,AEP / SWEPCO Fayettville - Brandon,AEP/SWEPCO - Shreveport:AEP / SWEPCO Fayettville - Brandon,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,160.00,160.00,"12,587.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,1Z2W49000315445353,03/05/2024,03/06/2024
,03/06/2024,Invoice,1108,NU-BC-2834,TUF Solutions,TUF Solutions,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,160.00,160.00,"12,747.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,02/28/2024,02/28/2024
,03/08/2024,Invoice,1109,NU-BC-2834,"Aerial Hydraulics, Inc.","Aerial Hydraulics, Inc.","1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,160.00,160.00,"12,907.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Check,,03/07/2024,03/07/2024
,03/08/2024,Invoice,1110,NU-BC-2834,"MMR Constructors, Inc.","MMR Constructors, Inc.","1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,170.00,170.00,"13,077.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,03/07/2024,03/07/2024
,03/11/2024,Invoice,1111,NU-BC-2834,TUF Solutions,TUF Solutions,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",4.00,160.00,640.00,"13,717.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000349033887,03/11/2024,03/12/2024
,04/01/2024,Invoice,1115,NU-BC-2834,AEP / SWEPCO Fayettville - Brandon,AEP/SWEPCO - Shreveport:AEP / SWEPCO Fayettville - Brandon,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,160.00,160.00,"13,877.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,,03/28/2024,03/28/2024
,04/01/2024,Invoice,1116,NU-BC-2834,AEP / SWEPCO Fayettville - Brandon,AEP/SWEPCO - Shreveport:AEP / SWEPCO Fayettville - Brandon,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,160.00,160.00,"14,037.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,,03/28/2024,03/28/2024
,04/11/2024,Invoice,1124,NU-BC-2834,Brink Constructors Inc.,Brink Constructors Inc.,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,165.00,165.00,"14,202.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000356985685,04/11/2024,04/12/2024
,05/03/2024,Invoice,1138,NU-BC-2834,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,160.00,160.00,"14,362.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,1Z2W49000324406351,05/03/2024,05/03/2024
,05/10/2024,Invoice,1143,NU-BC-2834,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,165.00,165.00,"14,527.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000358429880,05/10/2024,05/10/2024
,05/20/2024,Invoice,1147,NU-BC-2834,Stone and Sons Electrical Contractor,Stone and Sons Electrical Contractor,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",4.00,160.00,640.00,"15,167.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,05/06/2024,05/06/2024
,05/23/2024,Invoice,1151,NU-BC-2834,AEP/SWEPCO - Shreveport,AEP/SWEPCO - Shreveport,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",6.00,165.00,990.00,"16,157.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000325751959,05/23/2024,05/23/2024
,05/29/2024,Invoice,1153,NU-BC-2834,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,165.00,165.00,"16,322.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,1Z2W49000325891156,05/29/2024,05/30/2024
,05/30/2024,Invoice,1156,NU-BC-2834,Dominion Energy - Chris Whitehurst,Dominion Energy - Chris Whitehurst,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,175.00,175.00,"16,497.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,1Z2W49000360674486,06/03/2024,06/07/2024
,06/13/2024,Invoice,1158,NU-BC-2834,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,170.00,170.00,"16,667.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,1Z2W49000327335351,06/07/2024,06/11/2024
,07/08/2024,Invoice,1169,NU-BC-2834,ULCS - Birmingham,ULCS - Birmingham,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",3.00,175.00,525.00,"17,192.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,07/08/2024,07/11/2024
,07/26/2024,Invoice,1179,NU-BC-2834,ULCS - Birmingham,ULCS - Birmingham,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",2.00,175.00,350.00,"17,542.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,07/26/2024,07/29/2024
,08/09/2024,Invoice,1190,NU-BC-2834,Brink - Mr. Lance Brogan,Brink Constructors Inc.:Brink - Mr. Lance Brogan,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,185.00,185.00,"17,727.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000331807155,08/09/2024,08/09/2024
,08/15/2024,Invoice,1195,NU-BC-2834,Stone and Sons Electrical Contractor,Stone and Sons Electrical Contractor,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,0.00,0.00,"17,727.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,08/15/2024,08/16/2024
,09/04/2024,Invoice,1205,NU-BC-2834,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,185.00,185.00,"17,912.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,1Z2W49000333695059,09/04/2024,09/05/2024
,09/06/2024,Invoice,1206,NU-BC-2834,"LineTec Services, LLC","LineTec Services, LLC","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,185.00,185.00,"18,097.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000368173888,09/06/2024,09/06/2024
,09/10/2024,Invoice,1209,NU-BC-2834,"LineTec Services, LLC","LineTec Services, LLC","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,185.00,185.00,"18,282.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000368304389,09/10/2024,09/11/2024
,10/14/2024,Invoice,1216,NU-BC-2834,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,185.00,185.00,"18,467.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,1Z2W49000371471184,10/14/2024,10/14/2024
,10/14/2024,Invoice,1217,NU-BC-2834,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,185.00,185.00,"18,652.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,1Z2W49000371471184,10/14/2024,10/14/2024
,10/21/2024,Invoice,1218,NU-BC-2834,Pearl River Valley - Raymond May,Pearl River Valley - Raymond May,"1.5 Man Rigid 3 Panel Bucket Cover 28""x34"". Product Number: ""AC-BC2834""",1.00,170.00,170.00,"18,822.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000372228089,02/14/2024,10/22/2024
,10/21/2024,Invoice,1218,NU-BC-2834,Pearl River Valley - Raymond May,Pearl River Valley - Raymond May,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",6.00,175.00,"1,050.00","19,872.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000372228089,10/21/2024,10/22/2024
,10/21/2024,Invoice,1219,NU-BC-2834,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,175.00,175.00,"20,047.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,1Z2W49000338883159,10/21/2024,10/21/2024
,10/21/2024,Invoice,1220,NU-BC-2834,Versalift Southeast - Logan,Versalift Southeast - Logan,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,175.00,175.00,"20,222.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000338888958,06/03/2024,06/03/2024
,10/24/2024,Invoice,1224,NU-BC-2834,"LineTec Services, LLC","LineTec Services, LLC","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,175.00,175.00,"20,397.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000339115156,10/24/2024,10/25/2024
,10/24/2024,Invoice,1225,NU-BC-2834,"LineTec Services, LLC","LineTec Services, LLC","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,175.00,175.00,"20,572.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000339115156,10/24/2024,10/25/2024
,10/25/2024,Invoice,1226,NU-BC-2834,Versalift Southeast - Logan,Versalift Southeast - Logan,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,175.00,175.00,"20,747.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000338888958,10/15/2024,10/15/2024
,10/25/2024,Invoice,1227,NU-BC-2834,Versalift Southeast - Logan,Versalift Southeast - Logan,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,175.00,175.00,"20,922.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000338888958,10/15/2024,10/15/2024
,11/07/2024,Invoice,1232,NU-BC-2834,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,185.00,185.00,"21,107.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,1Z2W49000379388180,11/07/2024,11/07/2024
,11/19/2024,Invoice,1240,NU-BC-2834,AEP/SWEPCO - Shreveport,AEP/SWEPCO - Shreveport,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",6.00,185.00,"1,110.00","22,217.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000379779687,11/19/2024,11/19/2024
,12/04/2024,Invoice,1248,NU-BC-2834,"LineTec Services, LLC","LineTec Services, LLC","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,195.00,195.00,"22,412.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000347293154,12/03/2024,12/04/2024
,12/05/2024,Invoice,1251,NU-BC-2834,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,185.00,185.00,"22,597.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,1Z2W49000347635356,12/04/2024,12/05/2024
,12/18/2024,Invoice,1260,NU-BC-2834,Dominion Energy - Coy Crosby,Dominion Energy - Coy Crosby,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",7.00,195.00,"1,365.00","23,962.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000348496657,12/18/2024,
,12/31/2024,Invoice,1263,NU-BC-2834,Florence Electricity Department,Florence Electricity Department,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",3.00,195.00,585.00,"24,547.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000350703552,12/31/2024,12/31/2024
,01/13/2025,Invoice,1268,NU-BC-2834,Florence Electricity Department,Florence Electricity Department,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",12.00,185.00,"2,220.00","26,767.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z2W49000386287285,01/08/2025,01/13/2025
,01/13/2025,Invoice,1269,NU-BC-2834,"Aerial Hydraulics, Inc.","Aerial Hydraulics, Inc.","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,160.00,160.00,"26,927.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Check,1Z2W49000352968451,01/13/2025,01/13/2025
,01/14/2025,Invoice,1271,NU-BC-2834,East Bay Electric,East Bay Electric,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",2.00,185.00,370.00,"27,297.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,01/09/2025,01/09/2025
,01/14/2025,Invoice,1272,NU-BC-2834,Riviera Utilities,Riviera Utilities,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",3.00,185.00,555.00,"27,852.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,,01/08/2025,01/08/2025
,01/15/2025,Invoice,1273,NU-BC-2834,AEP/SWEPCO Tulsa,AEP/SWEPCO - Shreveport:AEP/SWEPCO Tulsa,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",2.00,195.00,390.00,"28,242.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,,01/15/2025,01/15/2025
,01/15/2025,Invoice,1274,NU-BC-2834,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,195.00,195.00,"28,437.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",Credit Card,1Z2W49000386556985,,01/15/2025
,02/03/2025,Invoice,1285,NU-BC-2834,TUF Solutions,TUF Solutions,"FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",4.00,185.00,740.00,"29,177.90",Sales of Product Income,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",,1Z4309870396229580,01/30/2025,01/30/2025
